Cocktail Name,Bartender,Bar/Company,Location,Ingredients,Garnish,Glassware,Preparation,Notes
A Gift from Zara,Rebecca Burkart,,Houston,"1.5 oz Luxardo Bitter Bianco, .75 oz London Dry Gin, .75 oz Elderflower Liqueur, 2 dash Citric Acid, 4 drops Orange Flower Water, 2.5 oz Topo Chico Mineral Water","Orange Zest, Edible Flowers",Wine Glass,Build all ingredients except for the Topo Chico in a wine glass. Fill the glass with cubed ice then top with Topo Chico by pouring it down a barspoon to incorporate. Zest the top with orange and place it in the glass. Add edible flowers for aroma and aesthetic.,
Gin Made Me Do It,Karri Cormican,Wildhawk,San Francisco,"1 oz Junipero Gin, 1 oz C. Drouin Calvados Selection, 1 oz Vermouth del Professore, 2 dash Angostura Bitters, 1 dash St. George Absinthe",Fresh Fennel Flowers,Martini,"Build all ingredients in a mixing glass, add ice and stir. Strain into a chilled martini glass and garnish with fresh fennel flowers.",Junipero Gin 20th Anniversary Signature Cocktail
Clearly Bitter,Linda Salinas,,Houston,".75 oz Luxardo Bitter Bianco, 1 oz Junipero Gin, .75 oz Dry Vermouth, .5 oz Curacao, 2 dash Rhubarb Bitters",Grapefruit Twist,Coupe,Build all ingredients in a mixing glass. Stir with ice and strain into coupe. Garnish with grapefruit peel.,
Short Round,,Dirty Habit,San Francisco,"5 oz Bacardi Superior Rum, 4 oz Chateau de Montifaud Pineau des Charentes Blanc, 3.5 oz Lemon Juice, 3.5 oz Velvet Falernum","Seasonal Fruit, Citrus Wheels",Punch Bowl,"Build all ingredients in a punch bowl and add ice, stir gently. Garnish with seasonal fruit and citrus wheels.",
Ypioca Yellow Card,Scott Brody,Presidio Social Club,San Francisco,"1.5 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, .5 oz King's Ginger Liqueur, 1 oz Pineapple Juice, .5 oz Simple Syrup, 2 oz Coconut Water, 1 fill Soda Water",Pineapple Leaf,Highball Glass,Build all into highball. Fill with ice. Top with soda water. Place pineapple leaf vertically in the glass.,
Buzzard's Bay,Morgan Schick,Bon Vivants,,"2 part No.3 London Dry Gin, .5 part Real Cranberry Juice, .25 part Luxardo Fernet, .5 part Lime juice, 1.5 part Puer Black Tea",Top with brine foam (optional),Rocks Glass,Build and pour in punch bowl over large ice block.,
Kick the Pigeon,,,," oz Pink Pigeon Rum,  oz St. Germaine Elderflower Liqueur,  oz Lemon ,  oz Vanilla Syrup,  oz Prosecco",,Champagne Flute,Build and serve in a champagne flute.,
Croatia Firing Squad,Ken Luciano,The Forgery,San Francisco,"1 oz Luxardo Bitter Bianco, 1 oz Lillet Blanc, 1 oz No.3 London Dry Gin, .5 oz Rose Wine",Rose Petal,N/A,"Build cocktail in glass, add ice and stir. Garnish with rose petal.",
The King's Ginger Summer Cup,,,,"1 oz King's Ginger Liqueur, 1.5 oz Cranberry Juice, 1.5 oz Fever-Tree Lemonade","Lemon Wheel, Strawberry",N/A,Build in a glass over ice. Add lemon wheels and strawberries. Finish with a splash of fresh lemon or top up with some sparkling wine. This drink can also be made in jugs or punch bowls.,
Pink Pigeon Punch,,,,"7 oz Pink Pigeon Rum, 1 oz Agave Syrup, 7 oz Watermelon, 2  Lemon Juice,  top Ginger Beer",,Coupe,"Build in a large pitcher or punchbowl. Combine Pink Pigeon Rum, juice from 2 lemons and agave. Blend 7 oz. of fresh watermelon in a blender and puree to mixture. Add a generous amount of ice and stir. Top with ginger beer. Ladle or pour into coupe glasses.",
Kentucky Garrigue,,Dirty Habit,San Francisco,"1.5 oz Wild Turkey 101 Bourbon, .75 oz Strawberry, Black Pepper Balsamic Shrub*, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, 1 oz Fever-Tree Tonic Water",Pickled Strawberry or Fresh Strawberry,Collins,"Build in a mixing glass and add ice. Slowly pour back and forth between two tins, about 4-6 times. Then dump the whole cocktail into a Fizz or Collins glass.","*Strawberry, Black Pepper Balsamic Shrub
1.5 cups strawberries
0.5 cups sugar
2 tsp black peppercorns
0.25 cups balsamic vinegar
0.25 cups champagne vinegar

Combine all ingredients except vinegar in a container and let sit overnight at room temperature.
The sugar should be absorbed by the strawberry juice.
The next day, puree with a blender and add any additional vinegar to taste.
Strain the shrub through chinois to remove any large leftover chunks.
Label and date and keep in the fridge."
Bitter Valencia,Justin Ware,,Houston,".75 oz Luxardo Bitter Bianco, .75 oz Gin, .75 oz Clarified Milk*, 2 dash Orange Bitters, 4 drops Vanilla",Orange Twist,Nick & Nora,"Build in a mixing glass. Add ice. Stir to dilute. Strain into a Nick & Nora glass. Garnish with an orange twist.

*Clarified Milk:
-- 1 C Whole Milk
-- .5 oz Lemon Juice

Heat milk to just before a simmer, then add lemon juice. Lightly stir to break the solid from the whey. Let chill for 5 mins to allow the solids to properly separate. Coffee strain twice for clarity.",
Chilcano (variation),Marvin Allen,Hotel Monteleone,New Orleans,"1.25 oz BarSol Primero Quebranta Pisco, .25 oz King's Ginger Liqueur, .5 oz Fresh Lime Juice, .25 oz Agave Nectar, 3-4 drops Cranberry Bitters, 4 oz Ginger Beer",Lime Wedge,Beer Glass,"Build in an ice filled 14 oz beer glass, add BarSol Pisco, Ginger Liqueur, fresh lime juice, and agave nectar. Roll into a Boston shaker and shake to mix, place cranberry bitters on top, add ginger beer and garnish with a wedge of fresh lime.",Featured on The Tales of the Cocktail 2016 Carousel Bar Menu
Little Ground Tapper,Claire & Chad,Tin Roof Drink Community,San Francisco,"2 oz H by HINE, .25 oz Small Hand Foods Pineapple Gum Syrup, 1 bsp Luxardo Maraschino Liqueur, 2 dash Angostura Bitters",Orange Peel,Old Fashioned Glass,Build in an old fashioned glass over ice. Garnish with orange peel.,Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Prince of Humbugs,Morgan Schick ,Jupiter Olympus ,San Francisco,"2 oz Hirsch Small Batch Reserve Bourbon, .75 oz Luxardo Bitter, .5 oz Cold Blue Bottle Coffee, .25 oz Luxardo Anisette, 2 dash Peychaud's Bitters",Orange Peel,Collins,Build in collins glass. Top with soda. Orange peel.,
The Big Picture,Nate Jimenez,,,"1.5 oz Tempus Fugit Alessio Vino Chinato, 1.5 oz Fig-Infused C. Drouin Calvados Selection, .5 oz Lemon, .25 oz Simple Syrup","Lemon Wheel, Dried Fig",N/A,Build in glass. Add crushed ice and swizzle. Top with more crushed ice. Dash pepita tincture on top for aromatics. Garnish with lemon wheel and dried fig.,
The King's Squeeze,,,,"35 ml King's Ginger Liqueur, 125 ml Fever-Tree Bitter Lemon",Lime Squeeze,N/A,"Build in ice-filled tall glass, garnish with a squeeze of lime.",
English Harbour Colada,,,,"2 oz English Harbour Rum 5 YO, 2 oz Fresh Squeezed Pineapple Juice, 2 oz Fresh Coconut Water","Pineapple Wedge, Lime Wheel",Old Fashioned Glass,Build in old fashioned glass over ice.,
Rita's Song,Jim Romdall,,,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .5 oz 15 YO Sherry, 2 dashes Dr. Adam's Boker's bitters, .25 oz Simple syrup",,Old Fashioned Glass,"Build in old fashioned glass, stir and serve over large ice cube.",
Le Femme Nikita,Joaquin Simo,Pouring Ribbons,New York,"2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, .25 oz Rich Cane Syrup, 2 dash Bittermens Xocolatl Mole Bitters, 2 dash Cinnamon Bitters",Orange Peel,Rocks Glass,Build in rocks glass. Use cylinder ice cube.,
1880's Americana,,,,"2 oz Hirsch Small Batch Reserve Bourbon, 10 ml Amer Picon, 10 ml House Cola Syrup",Cola candied orange peel,Old Fashioned Glass,Build over ice in Old Fashioned glass.,"Cocktail Inspiration: The inspiration was to use ingredients that were created or changed in that era. The 1880's saw Coca Cola born and the reformulation of Amer Picon along with the push for American Whiskies.

This cocktail was used at Tales of the Cocktail 2013."
Luxardo Maraschino Simple Spritz,,,,".5 oz Luxardo Maraschino Liqueur, .5 oz Squeeze of Lime , 3 oz Italian Sparkling Water","Lime Twist, Luxardo Cherry",N/A,"Build over ice, stir lightly, and garnish with a lime twist and a Luxardo Cherry.",
Aperitivo Spritz,,,San Francisco,"2 oz Luxardo Aperitivo, 3 oz Prosecco, 1 splash Sparkling Water","Orange, Luxardo Cherry",N/A,"Build over ice, stir lightly, and garnish with an orange peel or slice and Luxardo Cherry.",
La Chiara,Pasha Morshedi,,Houston,"1 oz Luxardo Bitter Bianco, 1 oz BarSol Primero Quebranta Pisco, 2 oz Fever-Tree Indian Tonic, 1 dash Luxardo Maraschino Liqueur",Lemon Twist,Collins,Build spirits in a tall glass over clear ice. Top with 4 oz tonic and garnish with a lemon twist curled into a flower if you're feeling fancy.,
Luxardo Ice Cream Float,,Gastronomista.com,,"1 oz Luxardo Cherry Syrup (from jar of cherries), 1 scoop Vanilla Ice Cream,  top Soda Water",Luxardo Cherry,Lowball Glass,"Build syrup and ice cream in a lowball cocktail glass, and top with soda water. Serve with a metal straw, a spoon, and garnish with a Luxardo Maraschino Cherry.",
Negroni,,Dirty Habit,San Francisco,"1 oz No.3 London Dry Gin, 1 oz Campari, 1 oz Martini & Rossi Sweet Vermouth",Orange Slice,Old Fashioned Glass,Build the cocktail in a mixing glass. Stir for about 15 seconds and then strain over ice into a old fashioned glass.,
Nellie Fer' Toddy,Robert Krueger,,,"1 oz Blended Scotch, 1 oz King's Ginger Liqueur, .5 oz The Genuine Curacao Liqueur Orange, .75 oz Fresh Lemon Juice,  top Hot Water, 1 dash Peychaud's Bitters",Half Orange Wheel,Irish Coffee Mug,Build then pour into a pre-heated Irish coffee glass or mug. Top with hot water. Garnish with the orange slice and add a dash of Peychaud's Bitters.,Featured in The King's Ginger Winter Warmer Program OND 2015
Almond Crusta,Kevin Diedrich,,San Francisco,"1 oz H by HINE, .5 oz Junipero Gin, .75 oz LemonJuice, .5 oz Orgeat, 1 dash Angostura Bitters","Superfine White Sugar, Lemon Zest",Coupe,Chill coupe glass and garnish rim by coating the outer lip of the glass with a wedge of lemon and dipping into a shallow dish containing superfine white sugar. Place lemon strip neatly along side of sugared coupe. Combine all liquid ingredients into shaker; add ice and shake. Double strain into glass.,Photo credit: Bestia
Mexico Mule,Benedict Simpson,Ancestral Garden Bar & Restaurant,New Zealand,"1 oz Montelobos Mezcal, .67 oz King's Ginger Liqueur, .5 oz Fresh Lime Juice, 3 oz Apple Cider, .5 oz Monin French Raspberry Syrup","Cinnamon Quill, Small Flowers, Lime Wheel",Julep Cup,"Chill cup and place a napkin around it. In the base of the cup put everything except the cider and the raspberry syrup and give a brief stir. Add some crushed ice. Stir vigorously. Top with crushed ice. Add cider. Pour raspberry syrup on top. Garnish with cinnamon quill as a stirrer, some small flowers, and a lime wheel.",
Hidarite,,,,"1.5 oz Nikka Coffey Grain Whiskey, .75 oz Luxardo Bitter, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 2 dash Chocolate Bitters",,N/A,Chilled. Serve up or on the rocks.,Japanese riff on a Left Hand cocktail
Bird is the Word,,,,".75 oz Pink Pigeon Rum, .75 oz Luxardo Maraschino Liqueur, .75 oz Green Chartreuse, .5 oz Lime Juice, .5 oz Pineapple Juice",Luxardo Cherry,Coupe,Cold shake-strain into coupe and garnish with a Luxardo Maraschino Cherry.,*Last Word variation
Jammie Dodger Fizz,Laura Maddox,Small Victory,Austin,"2 oz H by HINE, .5 oz Tempus Fugit Creme de Noyaux, .5 oz Orgeat, .375 oz Lemon, .375 oz Lime, 1 oz Heavy Whipping Cream, 1  Egg White",Orange Wheel,Collins,"Combine all ingredients and shake thoroughly without ice for several minutes. Add ice, shake, and strain into a tall collins glass. Top with soda and garnish with an orange wheel.",
Rudolph's Rose,Brian Means,Dirty Habit,San Francisco,"1.5 oz Christmas Spirit, .25 oz Luxardo Maraschino Liqueur, .5 oz Chateau de Montifaud Pineau des Charentes Rose, .75 oz Tempus Fugit Gran Classico Bitter",Luxardo Cherry,Coupe,Combine all ingredients and stir with ice in a mixing glass. Strain into coupe glass and garnish with a Luxardo Cherry.,
Heard It Through The Grapevine,Jeramy Campbell,Juliet Ristorante,Austin,"1.5 oz H by HINE, .75 oz Graham's 20 Year Tawny Port, .5 oz Tempus Fugit Kina L'Aero d'Or, .33 oz Velvet Falernum, .25 oz Benedictine",Orange Zest,Nick & Nora,Combine all ingredients and stir. Pour the mixture into a chilled Nick & Nora glass and garnish with the orange zest.,
Snow Bunny,Brian Means,Dirty Habit,San Francisco,"1.5 oz Christmas Spirit, .5 oz King's Ginger Liqueur, .5 oz Lemon juice, .5 oz Honey syrup, .5 oz Egg white, 2 oz Ale, 3 drops Dale DeGroff's Pimento Aromatic Bitters","Nutmeg, shaved",Fizz Glass,"Combine all ingredients besides beer and bitters and dry shake without ice. Add ice and re-shake, double strain into a fizz glass and top with beer. Garnish with shaved nutmeg and 3 drops of bitters.",
A Love Song,Russell Davis,,San Francisco,"1 oz No.3 London Dry Gin, 1 oz Maurin Quina, .5 oz Luxardo Bitter, .5 oz King's Ginger Liqueur",Blood orange slice,Martini,Combine all ingredients besides blood orange into a mixing glass and stir until proper dilution (15-20 seconds). Pour into a small martini glass. Rub a thin slice of blood orange around the rim and place in drink.,
Drops of Jupiter,Russell Davis,,San Francisco,"1.5 oz Junipero Gin, .5 oz Genevieve Gin, .25 oz Rich Wild Sage Honey Syrup, 1 dash Angostura Bitters, 1 dash Whiskey Barrel Aged Bitters, .75 oz Spring Water",Duke's lemon,Rocks Glass,Combine all ingredients except Duke's Lemon garnish in mixing glass and stir. Pour into a rocks glass and garnish. Ice does not touch this drink.,"All ingredients should be kept at room temperature.

Rich wild sage honey syrup: 2 parts local unfilteres, unprocessed, raw honey with 1 part water
"
Mother Superior,Alex Quesada,Local Edition,San Francisco,"1.5 oz Blanc Vermouth, .75 oz Lemon Juice, .5 oz Junipero Gin, .5 oz Giffard Pamplemousse, .5 oz House-made Yellow Shaw-treuse*, .5 oz Tonic, 2 dash Celery Bitters, 2 dash Coriander Tincture",Fresh Grapefruit Peel,Coupe,"Combine all ingredients except for tonic. Shake with ice. Strain into a chilled coupe. Top with the tonic and garnish with a fresh grapefruit peel. 

*Substitute with Yellow Chartreuse Liqueur",Junipero Gin 20th Anniversary Signature Cocktail
Round Pond Aperitif,Alan Kropf,,San Francisco,"1.5 oz Luxardo Aperitivo, .5 oz Round Pond Blood Orange Syrup, .5 oz Fresh Lemon Juice, 1 splash Sparkling Wine",Lemon Peel,Coupe,"Combine all ingredients except soda in a shaker with ice, shake to combine. Pour into a coupe glass and garnish with a lemon peel.",
Across The Pond,Alan Kropf,,San Francisco,"1 oz Junipero Gin, 1 oz King's Ginger Liqueur, .5 oz Round Pond Meyer Lemon Syrup, .75 oz Fresh Lemon Juice, 1 splash Soda water",Luxardo Cherry,Rocks Glass,"Combine all ingredients except soda in a shaker with ice, shake to combine. Pour over ice in a rocks glass and top with soda. Garnish with a Luxardo cherry.
",
Fizzy Rhubarb Mule,Tom Cavazos,The Cedars Social,Dallas,"2 oz Rhubarb Infused Gin*, .5 oz King's Ginger Liqueur, .75 oz Lemon, .75 oz Simple Syrup , 1  Egg White,   Soda",Rhubarb Stalk,Collins,"Combine all ingredients except soda in a tin and dry shake. Add ice and shake vigorously. Add soda into a collins glass and slowly strain the drink over it until it forms a head. Garnish with one rhubarb stalk.

*Rhubarb Infused Gin:
750 ml of gin with 3 chopped stalks of fresh rhubarb for 48 hours",
Charente Royale,Kevin Diedrich,Turnkey,San Francisco,"1.5 oz H by HINE, .5 oz Elderflower Liqueur, 2 dash Absinthe,  top Sparkling Wine",Orange Twist,Champagne Flute,Combine all ingredients except sparkling wine in a shaker. Add ice and shake until chilled through. Double strain into a champagne flute and garnish with an orange twist.,
Peachy Keane,Bonnie Wilson,Ida Claire,Dallas,"1.5 oz Old Forester Bourbon, .5 oz King's Ginger Liqueur, .5 oz Giffard Crème de Pêche de Vigne, .5 oz Honey syrup (local honey cut 2:1 with water), .75 oz Lemon juice, 1  Egg white, 1 dash Angostura Bitters","Dried peach, Candied ginger",Old Fashioned Glass,Combine all ingredients except the bitters and dry shake. Add ice and shake again. Strain over fresh ice into a double old fashioned glass. Dash bitters over the top of the cocktail. Garnish with a dried peach and a piece of candied ginger.,
Hopped-Up Mary,Russell Davis,,,"2 oz Hophead Vodka, 6 oz Tomato Juice, 1.5 tsp Demitri's Bloody Mary Seasoning, .5 oz Fresh Lemon Juice","Cocktail Shrimp, Lemon Zest, Celery Stalk",N/A,"Combine all ingredients in a chilled mixing glass, rimmed with sea salt and stir. Add ice. Stir again to mix. Garnish with a cocktail shrimp, lemon zest, fresh ground pepper and a celery stalk.",
The Palace Cellar,Michael Esposito,Snake Oil Company,San Diego,"1.5 oz King's Ginger Liqueur, .5 oz Pink Pigeon Rum, .5 oz Fresh-pressed Lemon Juice, .5 oz Snake Oil's House-made Sarsaparilla Syrup, .75 oz Carbonated Water, 1 dash Snake Oil's House-made Pomegranate Bitters","Ginger, Lemon Wheel",Collins,Combine all ingredients in a Collins glass and stir. Garnish with a slice of ginger and lemon wheel.,
Swedish Royal,Sean McClure,,,"2 oz Karlsson's Gold Vodka, 1 oz Apricot brandy, .5 oz Dry vermouth, .5 oz Sweet vermouth",,Coupe,Combine all ingredients in a frozen mixing glass with hard ice and stir for 20 seconds. Strain into a frozen coupe glass.,"Vermouth: Vermouth, like wine goes bad if it has been open for a while. Also it's best to keep it in the refrigerator after it has been open to keep it fresh. Vermouth will last about 3-4 months. There are many producers of vermouth, all varying in style and flavor, so we would recommend trying a couple out and finding which you prefer. It's also fun to taste the difference. This goes for both dry (French) and sweet (Italian). Depending on the type you use, you might want to adjust the quantities used in your cocktail to your liking.

Apricot brandy: There are many brands out there. We like to use the Rothman & Winter. Unlike other fruit liqueurs that can be cloyingly sweet, the Rothman & Winter delivers a sweetness and bouquet expected when enjoying a fresh apricot.

This is a nice cocktail for vodka martini drinkers that want a little twist on their cocktail. It's essentially a perfect martini made with vodka and apricot brandy."
