Cocktail Name;Category;Alcoholic;Glassware;Preparation;PreparationDE;PreparationIT;DrinkThumb;Ingredients;Bartender;Bar/Company;Location;Garnish;Notes
Bermuda Highball;N/A;N/A;Collins;Add spirits and bitters to collins glass. Add large ice cubes and fill with club soda. Garnish with orange peel (or lemon peel).;N/A;N/A;N/A;1 oz Chateau de Montifaud Cognac VSOP, 1 oz Plymouth Gin, 1 oz Contratto Bianco Vermouth, 2 dash Regans' Orange Bitters No. 6, 3 oz Club Soda;N/A;N/A;N/A;Orange Peel;"<a href=""http://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/?slide=2"" target=""_blank"">www.townandcountrymag.com</a>"
Lux Cherry Sparkler;N/A;N/A;Champagne Flute;Add the Cherry Liqueur to a flute, top with Prosecco, and garnish with a Luxardo Maraschino Cherry.;N/A;N/A;N/A;1 oz Luxardo Sangue Morlacco Cherry Liqueur, 4 oz Prosecco;N/A;N/A;N/A;Luxardo Cherry;N/A
French Maid;N/A;N/A;N/A;Add the cucumber, mint and simple syrup to a mixing glass and muddle. Add everything else, then shake with ice and strain into a Collins glass filled with ice. Garnish with a mint sprig poking through a cucumber wheel.;N/A;N/A;N/A;1.5 oz H by HINE, 1 oz House Ginger Beer, .75 oz Lime juice, .75 oz Simple syrup, .25 oz John D. Taylor's Velvet Falernum, 3  Cucumber wheels, 8  Mint leaves, 1  Mint sprig;Jim Meehan;PDT;New York;Fresh mint sprig, Cucumber wheel;N/A
Karlsson's Mule;N/A;N/A;Copper mug;Add vodka and lime juice to drinking glass, add ice, and top with ginger beer. Garnish with a lime.;N/A;N/A;N/A;1.5 oz Karlsson's Gold Vodka, .25 oz Lime juice , 3 oz Ginger beer;N/A;N/A;N/A;Lime wheel;N/A
Creek Ran Dry;N/A;N/A;Coupe;Barrel aged for 5 months in a used bourbon barrel.  Stir with ice and strain into a small coupe. Garnish with an orange twist.;N/A;N/A;N/A;1 oz Pear Brandy, 1 oz Dry Vermouth, .5 oz Chateau de Montifaud Pineau des Charentes Blanc, .5 oz Dolin Genepy;Brian Means;Dirty Habit;San Francisco;Orange Twist;N/A
Mandrake;N/A;N/A;Coupe;Barrel aged in a used bourbon barrel that previously held a cocktail containing Hine Cognac and Luxardo Bitter.  Stir with ice and strain into a small coupe. Garnish with an orange twist.;N/A;N/A;N/A;1.5 oz BarSol Primero Quebranta Pisco, 1 oz BarSol Perfecto Amor (Aperitif Wine), .25 oz Leopold Bros. Bitter, .25 oz Velvet Falernum,   Red Hawaiian Salt;Brian Means;Dirty Habit;San Francisco;Orange Twist;N/A
Redondo Beach;N/A;N/A;Rocks Glass;Blend with ice.;N/A;N/A;N/A;1.5 oz Chinaco Blanco Tequila, .25 oz F. Meyer Mirabelle (Yellow Plum), .5 oz Fino Sherry, .75 oz The Genuine Curacao Liqueur Blue, 2 oz Horchata, .5 oz Simple Syrup (2:1), .5 oz Lime Juice;Morgan Schick;Bon Vivants;N/A;Parasol;N/A
The Tahoe Toddy;N/A;N/A;Coffee Mug;Boil water in a tea kettle.   Squeeze lemon slice into the mug. Insert whole cloves into the lemon slice and drop it into the mug.;N/A;N/A;N/A;2 oz Hot Water, 2 oz Glenrothes, 1 oz King's Ginger Liqueur, 1 dash Honey;Jourdan Reinhart;N/A;San Francisco;Lemon Slice;N/A
Pink Ribbon;N/A;N/A;Champagne Flute;Brown sugar cube soaked in Peychaud’s Bitters. Put soaked sugar cube in glass first. Pour .75 oz Pink Pigeon rum into flute over sugar cube. Fill remainder of the glass with champagne. Garnish with lemon twist.;N/A;N/A;N/A;1 cube Brown Sugar, 1 soaked Peychaud's Bitters, .75 oz Pink Pigeon Rum, Champagne;Kate Grutman;N/A;N/A;Lemon twist;N/A
Short Round II;N/A;N/A;Large Antique Vintage Shaker;Build & Stir. Hoshizaki Ice.;N/A;N/A;N/A;2 oz Avuá Prata Cachaça, 2 oz Bacardi Superior Rum, 3 oz Chateau de Montifaud Pineau des Charentes Rose, 2 oz Lime Juice, 1 oz Cannella Cinnamon Cordial, 2 oz Simple Syrup;Brian Means;Dirty Habit;San Francisco;N/A;N/A
A Gift from Zara;N/A;N/A;Wine Glass;Build all ingredients except for the Topo Chico in a wine glass. Fill the glass with cubed ice then top with Topo Chico by pouring it down a barspoon to incorporate. Zest the top with orange and place it in the glass. Add edible flowers for aroma and aesthetic.;N/A;N/A;N/A;1.5 oz Luxardo Bitter Bianco, .75 oz London Dry Gin, .75 oz Elderflower Liqueur, 2 dash Citric Acid, 4 drops Orange Flower Water, 2.5 oz Topo Chico Mineral Water;Rebecca Burkart;N/A;Houston;Orange Zest, Edible Flowers;N/A
Gin Made Me Do It;N/A;N/A;Martini Glass;Build all ingredients in a mixing glass, add ice and stir. Strain into a chilled martini glass and garnish with fresh fennel flowers.;N/A;N/A;N/A;1 oz Junipero Gin, 1 oz C. Drouin Calvados Selection, 1 oz Vermouth del Professore, 2 dash Angostura Bitters, 1 dash St. George Absinthe;Karri Cormican;Wildhawk;San Francisco;Fresh Fennel Flowers;Junipero Gin 20th Anniversary Signature Cocktail
Clearly Bitter;N/A;N/A;Coupe;Build all ingredients in a mixing glass. Stir with ice and strain into coupe. Garnish with grapefruit peel.;N/A;N/A;N/A;.75 oz Luxardo Bitter Bianco, 1 oz Junipero Gin, .75 oz Dry Vermouth, .5 oz Curacao, 2 dash Rhubarb Bitters;Linda Salinas;N/A;Houston;Grapefruit Twist;N/A
Short Round;N/A;N/A;Punch Bowl;Build all ingredients in a punch bowl and add ice, stir gently. Garnish with seasonal fruit and citrus wheels.;N/A;N/A;N/A;5 oz Bacardi Superior Rum, 4 oz Chateau de Montifaud Pineau des Charentes Blanc, 3.5 oz Lemon Juice, 3.5 oz Velvet Falernum;N/A;Dirty Habit;San Francisco;Seasonal Fruit, Citrus Wheels;N/A
Ypioca Yellow Card;N/A;N/A;Highball Glass;Build all into highball. Fill with ice. Top with soda water. Place pineapple leaf vertically in the glass.;N/A;N/A;N/A;1.5 oz Ypioca Brasilizar Cachaca Prata Reserva Especial, .5 oz King's Ginger Liqueur, 1 oz Pineapple Juice, .5 oz Simple Syrup, 2 oz Coconut Water, 1 fill Soda Water;Scott Brody;Presidio Social Club;San Francisco;Pineapple Leaf;N/A
Buzzard's Bay;N/A;N/A;Rocks Glass;Build and pour in punch bowl over large ice block.;N/A;N/A;N/A;2 part No.3 London Dry Gin, .5 part Real Cranberry Juice, .25 part Luxardo Fernet, .5 part Lime juice, 1.5 part Puer Black Tea;Morgan Schick;Bon Vivants;N/A;Top with brine foam (optional);N/A
Kick the Pigeon;N/A;N/A;Champagne Flute;Build and serve in a champagne flute.;N/A;N/A;N/A;1 oz Pink Pigeon Rum, 1 oz St. Germaine Elderflower Liqueur, 1 oz Lemon, 1 oz Vanilla Syrup, 1 oz Prosecco;N/A;N/A;N/A;N/A;N/A
Croatia Firing Squad;N/A;N/A;N/A;Build cocktail in glass, add ice and stir. Garnish with rose petal.;N/A;N/A;N/A;1 oz Luxardo Bitter Bianco, 1 oz Lillet Blanc, 1 oz No.3 London Dry Gin, .5 oz Rose Wine;Ken Luciano;The Forgery;San Francisco;Rose Petal;N/A
The King's Ginger Summer Cup;N/A;N/A;N/A;Build in a glass over ice. Add lemon wheels and strawberries. Finish with a splash of fresh lemon or top up with some sparkling wine. This drink can also be made in jugs or punch bowls.;N/A;N/A;N/A;1 oz King's Ginger Liqueur, 1.5 oz Cranberry Juice, 1.5 oz Fever-Tree Lemonade;N/A;N/A;N/A;Lemon Wheel, Strawberry;N/A
Pink Pigeon Punch;N/A;N/A;Coupe;Build in a large pitcher or punchbowl. Combine Pink Pigeon Rum, juice from 2 lemons and agave. Blend 7 oz. of fresh watermelon in a blender and puree to mixture. Add a generous amount of ice and stir. Top with ginger beer. Ladle or pour into coupe glasses.;N/A;N/A;N/A;7 oz Pink Pigeon Rum, 1 oz Agave Syrup, 7 oz Watermelon, 2  Lemon Juice, 1 top Ginger Beer;N/A;N/A;N/A;N/A;N/A
Kentucky Garrigue;N/A;N/A;Collins;Build in a mixing glass and add ice. Slowly pour back and forth between two tins, about 4-6 times. Then dump the whole cocktail into a Fizz or Collins glass.;N/A;N/A;N/A;1.5 oz Wild Turkey 101 Bourbon, .75 oz Strawberry, Black Pepper Balsamic Shrub, .75 oz Luxardo Sangue Morlacco Cherry Liqueur, 1 oz Fever-Tree Tonic Water;N/A;Dirty Habit;San Francisco;Pickled Strawberry or Fresh Strawberry;*Strawberry, Black Pepper Balsamic Shrub 1.5 cups strawberries 0.5 cups sugar 2 tsp black peppercorns 0.25 cups balsamic vinegar 0.25 cups champagne vinegar  Combine all ingredients except vinegar in a container and let sit overnight at room temperature. The sugar should be absorbed by the strawberry juice. The next day, puree with a blender and add any additional vinegar to taste. Strain the shrub through chinois to remove any large leftover chunks. Label and date and keep in the fridge.
Bitter Valencia;N/A;N/A;Nick & Nora;Build in a mixing glass. Add ice. Stir to dilute. Strain into a Nick & Nora glass. Garnish with an orange twist.  *Clarified Milk: -- 1 C Whole Milk -- .5 oz Lemon Juice  Heat milk to just before a simmer, then add lemon juice. Lightly stir to break the solid from the whey. Let chill for 5 mins to allow the solids to properly separate. Coffee strain twice for clarity.;N/A;N/A;N/A;.75 oz Luxardo Bitter Bianco, .75 oz Gin, .75 oz Clarified Milk, 2 dash Orange Bitters, 4 drops Vanilla;Justin Ware;N/A;Houston;Orange Twist;N/A
Chilcano (variation);N/A;N/A;Beer Glass;Build in an ice filled 14 oz beer glass, add BarSol Pisco, Ginger Liqueur, fresh lime juice, and agave nectar. Roll into a Boston shaker and shake to mix, place cranberry bitters on top, add ginger beer and garnish with a wedge of fresh lime.;N/A;N/A;N/A;1.25 oz BarSol Primero Quebranta Pisco, .25 oz King's Ginger Liqueur, .5 oz Fresh Lime Juice, .25 oz Agave Nectar, 3-4 drops Cranberry Bitters, 4 oz Ginger Beer;Marvin Allen;Hotel Monteleone;New Orleans;Lime Wedge;Featured on The Tales of the Cocktail 2016 Carousel Bar Menu
Little Ground Tapper;N/A;N/A;Old Fashioned Glass;Build in an old fashioned glass over ice. Garnish with orange peel.;N/A;N/A;N/A;2 oz H by HINE, .25 oz Small Hand Foods Pineapple Gum Syrup, 1 bsp Luxardo Maraschino Liqueur, 2 dash Angostura Bitters;Claire & Chad;Tin Roof Drink Community;San Francisco;Orange Peel;Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Prince of Humbugs;N/A;N/A;Collins;Build in collins glass. Top with soda. Orange peel.;N/A;N/A;N/A;2 oz Hirsch Small Batch Reserve Bourbon, .75 oz Luxardo Bitter, .5 oz Cold Blue Bottle Coffee, .25 oz Luxardo Anisette, 2 dash Peychaud's Bitters;Morgan Schick;Jupiter Olympus;San Francisco;Orange Peel;N/A
The Big Picture;N/A;N/A;N/A;Build in glass. Add crushed ice and swizzle. Top with more crushed ice. Dash pepita tincture on top for aromatics. Garnish with lemon wheel and dried fig.;N/A;N/A;N/A;1.5 oz Tempus Fugit Alessio Vino Chinato, 1.5 oz Fig-Infused C. Drouin Calvados Selection, .5 oz Lemon, .25 oz Simple Syrup;Nate Jimenez;N/A;N/A;Lemon Wheel, Dried Fig;N/A
The King's Squeeze;N/A;N/A;N/A;Build in ice-filled tall glass, garnish with a squeeze of lime.;N/A;N/A;N/A;35 ml King's Ginger Liqueur, 125 ml Fever-Tree Bitter Lemon;N/A;N/A;N/A;Lime Squeeze;N/A
English Harbour Colada;N/A;N/A;Old Fashioned Glass;Build in old fashioned glass over ice.;N/A;N/A;N/A;2 oz English Harbour Rum 5 YO, 2 oz Fresh Squeezed Pineapple Juice, 2 oz Fresh Coconut Water;N/A;N/A;N/A;Pineapple Wedge, Lime Wheel;N/A
Rita's Song;N/A;N/A;N/A;Serve in an old fashioned glass over a large ice cube.;N/A;N/A;N/A;2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, 0.5 oz 15 YO Sherry, 2 dash Dr. Adam's Boker's bitters, 0.25 oz Simple syrup;N/A;N/A;Seattle;N/A;N/A
Le Femme Nikita;N/A;N/A;Rocks Glass;Build in rocks glass. Use cylinder ice cube.;N/A;N/A;N/A;2 oz Nikka Whisky Taketsuru Pure Malt 12 YO, 0.25 oz Rich Cane Syrup, 2 dash Bittermens Xocolatl Mole Bitters, 2 dash Cinnamon Bitters;Joaquin Simo;Pouring Ribbons;New York;Orange Peel;N/A
1880's Americana;N/A;N/A;Old Fashioned Glass;Build over ice in Old Fashioned glass.;N/A;N/A;N/A;2 oz Hirsch Small Batch Reserve Bourbon, 10 ml Amer Picon, 10 ml House Cola Syrup;N/A;N/A;N/A;Cola candied orange peel;Cocktail Inspiration: The inspiration was to use ingredients that were created or changed in that era. The 1880's saw Coca Cola born and the reformulation of Amer Picon along with the push for American Whiskies.  This cocktail was used at Tales of the Cocktail 2013.
Luxardo Maraschino Simple Spritz;N/A;N/A;N/A;Build over ice, stir lightly, and garnish with a lime twist and a Luxardo Cherry.;N/A;N/A;N/A;.5 oz Luxardo Maraschino Liqueur, .5 oz Squeeze of Lime , 3 oz Italian Sparkling Water;N/A;N/A;N/A;Lime Twist, Luxardo Cherry;N/A
Aperitivo Spritz;N/A;N/A;N/A;Build over ice, stir lightly, and garnish with an orange peel or slice and Luxardo Cherry.;N/A;N/A;N/A;2 oz Luxardo Aperitivo, 3 oz Prosecco, 1 splash Sparkling Water;N/A;N/A;San Francisco;Orange, Luxardo Cherry;N/A
La Chiara;N/A;N/A;Collins;Build spirits in a tall glass over clear ice. Top with 4 oz tonic and garnish with a lemon twist curled into a flower if you're feeling fancy.;N/A;N/A;N/A;1 oz Luxardo Bitter Bianco, 1 oz BarSol Primero Quebranta Pisco, 2 oz Fever-Tree Indian Tonic, 1 dash Luxardo Maraschino Liqueur;Pasha Morshedi;N/A;Houston;Lemon Twist;N/A
Luxardo Ice Cream Float;N/A;N/A;Lowball Glass;Build syrup and ice cream in a lowball cocktail glass, and top with soda water. Serve with a metal straw, a spoon, and garnish with a Luxardo Maraschino Cherry.;N/A;N/A;N/A;1 oz Luxardo Cherry Syrup (from jar of cherries), 1 scoop Vanilla Ice Cream, 1 top Soda Water;N/A;Gastronomista.com;N/A;Luxardo Cherry;N/A
Negroni;Ordinary Drink;Alcoholic;Rocks Glass;Stir into glass over ice, garnish and serve.;In ein Glas über das Eis gießen, garnieren und servieren.;Mescolare nel bicchiere con ghiaccio, guarnire e servire.;https://www.thecocktaildb.com/images/media/drink/qgdu971561574065.jpg;1 oz Sweet Vermouth, 1 oz Campari, 1 oz Gin;N/A;N/A;N/A;Orange Twist;For a slightly sweeter version, replace Luxardo bitters with Aperol.
Nellie Fer' Toddy;N/A;N/A;Irish Coffee Mug;Build then pour into a pre-heated Irish coffee glass or mug. Top with hot water. Garnish with the orange slice and add a dash of Peychaud's Bitters.;N/A;N/A;N/A;1 oz Blended Scotch, 1 oz King's Ginger Liqueur, .5 oz The Genuine Curacao Liqueur Orange, .75 oz Fresh Lemon Juice, 1 top Hot Water, 1 dash Peychaud's Bitters;Robert Krueger;N/A;N/A;Half Orange Wheel;Featured in The King's Ginger Winter Warmer Program OND 2015
Almond Crusta;N/A;N/A;Coupe;"Chill coupe glass and garnish rim by coating the outer lip of the glass with a wedge of lemon and dipping into a shallow dish containing superfine white sugar. Place lemon strip neatly along side of sugared coupe. Combine all liquid ingredients into shaker; add ice and shake. Double strain into glass.";N/A;N/A;N/A;1 oz H by HINE, .5 oz Junipero Gin, .75 oz LemonJuice, .5 oz Orgeat, 1 dash Angostura Bitters;Kevin Diedrich;N/A;San Francisco;Superfine White Sugar, Lemon Zest;Photo credit: Bestia
Mexico Mule;N/A;N/A;Julep Cup;Chill cup and place a napkin around it. In the base of the cup put everything except the cider and the raspberry syrup and give a brief stir. Add some crushed ice. Stir vigorously. Top with crushed ice. Add cider. Pour raspberry syrup on top. Garnish with cinnamon quill as a stirrer, some small flowers, and a lime wheel.;N/A;N/A;N/A;1 oz Montelobos Mezcal, .67 oz King's Ginger Liqueur, .5 oz Fresh Lime Juice, 3 oz Apple Cider, .5 oz Monin French Raspberry Syrup;Benedict Simpson;Ancestral Garden Bar & Restaurant;New Zealand;Cinnamon Quill, Small Flowers, Lime Wheel;N/A
Hidarite;N/A;N/A;N/A;Chilled. Serve up or on the rocks.;N/A;N/A;N/A;1.5 oz Nikka Coffey Grain Whiskey, .75 oz Luxardo Bitter, .75 oz Tempus Fugit Alessio Vermouth di Torino Rosso, 2 dash Chocolate Bitters;N/A;N/A;N/A;N/A;Japanese riff on a Left Hand cocktail
Bird is the Word;N/A;N/A;Coupe;Cold shake-strain into coupe and garnish with a Luxardo Maraschino Cherry.;N/A;N/A;N/A;.75 oz Pink Pigeon Rum, .75 oz Luxardo Maraschino Liqueur, .75 oz Green Chartreuse, .5 oz Lime Juice, .5 oz Pineapple Juice;N/A;N/A;N/A;Luxardo Cherry;*Last Word variation
Jammie Dodger Fizz;N/A;N/A;Collins;Combine all ingredients and shake thoroughly without ice for several minutes. Add ice, shake, and strain into a tall collins glass. Top with soda and garnish with an orange wheel.;N/A;N/A;N/A;2 oz H by HINE, .5 oz Tempus Fugit Creme de Noyaux, .5 oz Orgeat, .375 oz Lemon, .375 oz Lime, 1 oz Heavy Whipping Cream, 1  Egg White;Laura Maddox;Small Victory;Austin;Orange Wheel;N/A
Rudolph's Rose;N/A;N/A;Coupe;Combine all ingredients and stir with ice in a mixing glass. Strain into coupe glass and garnish with a Luxardo Cherry.;N/A;N/A;N/A;1.5 oz Christmas Spirit, .25 oz Luxardo Maraschino Liqueur, .5 oz Chateau de Montifaud Pineau des Charentes Rose, .75 oz Tempus Fugit Gran Classico Bitter;Brian Means;Dirty Habit;San Francisco;Luxardo Cherry;N/A
Heard It Through The Grapevine;N/A;N/A;Nick & Nora;Combine all ingredients and stir. Pour the mixture into a chilled Nick & Nora glass and garnish with the orange zest.;N/A;N/A;N/A;1.5 oz H by HINE, .75 oz Graham's 20 Year Tawny Port, .5 oz Tempus Fugit Kina L'Aero d'Or, .33 oz Velvet Falernum, .25 oz Benedictine;Jeramy Campbell;Juliet Ristorante;Austin;Orange Zest;N/A
Snow Bunny;N/A;N/A;Fizz Glass;Combine all ingredients besides beer and bitters and dry shake without ice. Add ice and re-shake, double strain into a fizz glass and top with beer. Garnish with shaved nutmeg and 3 drops of bitters.;N/A;N/A;N/A;1.5 oz Christmas Spirit, .5 oz King's Ginger Liqueur, .5 oz Lemon juice, .5 oz Honey syrup, .5 oz Egg white, 2 oz Ale, 3 drops Dale DeGroff's Pimento Aromatic Bitters;Brian Means;Dirty Habit;San Francisco;Nutmeg, shaved;N/A
A Love Song;N/A;N/A;Martini Glass;Combine all ingredients besides blood orange into a mixing glass and stir until proper dilution (15-20 seconds). Pour into a small martini glass. Rub a thin slice of blood orange around the rim and place in drink.;N/A;N/A;N/A;1 oz No.3 London Dry Gin, 1 oz Maurin Quina, .5 oz Luxardo Bitter, .5 oz King's Ginger Liqueur;Russell Davis;N/A;San Francisco;Blood orange slice;N/A
Drops of Jupiter;N/A;N/A;Rocks Glass;Combine all ingredients except Duke's Lemon garnish in mixing glass and stir. Pour into a rocks glass and garnish. Ice does not touch this drink.;N/A;N/A;N/A;1.5 oz Junipero Gin, .5 oz Genevieve Gin, .25 oz Rich Wild Sage Honey Syrup, 1 dash Angostura Bitters, 1 dash Whiskey Barrel Aged Bitters, .75 oz Spring Water;Russell Davis;N/A;San Francisco;Duke's lemon;All ingredients should be kept at room temperature.  Rich wild sage honey syrup: 2 parts local unfilteres, unprocessed, raw honey with 1 part water
Mother Superior;N/A;N/A;Coupe;Combine all ingredients except for tonic. Shake with ice. Strain into a chilled coupe. Top with the tonic and garnish with a fresh grapefruit peel.   *Substitute with Yellow Chartreuse Liqueur;N/A;N/A;N/A;1.5 oz Blanc Vermouth, .75 oz Lemon Juice, .5 oz Junipero Gin, .5 oz Giffard Pamplemousse, .5 oz House-made Yellow Shaw-treuse, .5 oz Tonic, 2 dash Celery Bitters, 2 dash Coriander Tincture;Alex Quesada;Local Edition;San Francisco;Fresh Grapefruit Peel;Junipero Gin 20th Anniversary Signature Cocktail
Round Pond Aperitif;N/A;N/A;Coupe;Combine all ingredients except soda in a shaker with ice, shake to combine. Pour into a coupe glass and garnish with a lemon peel.;N/A;N/A;N/A;1.5 oz Luxardo Aperitivo, .5 oz Round Pond Blood Orange Syrup, .5 oz Fresh Lemon Juice, 1 splash Sparkling Wine;Alan Kropf;N/A;San Francisco;Lemon Peel;N/A
Across The Pond;N/A;N/A;Rocks Glass;Combine all ingredients except soda in a shaker with ice, shake to combine. Pour over ice in a rocks glass and top with soda. Garnish with a Luxardo cherry.;N/A;N/A;N/A;1 oz Junipero Gin, 1 oz King's Ginger Liqueur, .5 oz Round Pond Meyer Lemon Syrup, .75 oz Fresh Lemon Juice, 1 splash Soda water;Alan Kropf;N/A;San Francisco;Luxardo Cherry;N/A
